Entity code,Entity name,Entity abbreviation,Entity theme,Entity coverage,Related entity codes,Status,Number of live instances,Number of archived instances,Number of cross-border instances,Date of last instance change,Current code (first in range),Current code (last in range),Reserved code (for CHD use),Entity owner abbreviation,Date entity introduced on RGC,Entity start date,,
E22,Community Safety Partnerships,CSP,Other,England,W14,Current,293,81,0,01/04/2016,E22000001,E22000374,E22999999,Home Office,01/01/2009,01/01/2009,,
E23,Police Force Areas,PFA,Other,England,"W15, S23, N23",Current,39,0,0,n/a,E23000001,E23000039,E23999999,Home Office,01/01/2009,01/01/2009,,
E24,Local Learning and Skills Council areas,LLSC,Other,England,n/a,Archived,0,47,0,31/03/2010,E24000001,E24000047,E24999999,ONS,01/01/2009,01/01/2009,,
E25,Primary Urban Areas,PUA,Other,England,n/a,Current,56,0,0,n/a,E25000001,E25000056,E25999999,DLUHC,01/01/2009,01/01/2009,,
E26,National Parks,NPARK,Other,England,"W18, S21",Current,10,12,0,31/12/2022,E26000001,E26000012,E26999999,Natural England,01/01/2009,01/01/2009,,
E27,New Deal for Communities,NDC,Other,England,n/a,Archived,0,39,0,31/03/2011,E27000001,E27000039,E27999999,DLUHC,01/01/2009,01/01/2009,,
E28,Registration Districts,REGD,Other,England,W20,Current,153,72,0,01/04/2023,E28000001,E28000225,E28999999,DLUHC,01/01/2009,01/01/2009,,
E29,Registration Sub-district,REGSD,Other,England,W21,Current,153,85,0,01/04/2023,E29000001,E29000238,E29999999,DLUHC,01/01/2009,01/01/2009,,
E30,Travel to Work Areas,TTWA,Other,England,"W22, S22, N12, K01",Current,149,206,6,31/07/2015,E30000004,E30000294,E30999999,ONS,01/01/2009,01/01/2009,,
E31,Fire and Rescue Authorities,FRA,Other,England,"W25, S38, N31",Current,44,12,0,01/04/2021,E31000001,E31000048,E31999999,Home Office,01/01/2009,01/01/2009,,
E32,London Assembly Constituencies,LAC,Electoral,England,n/a,Current,14,0,0,n/a,E32000001,E32000014,E32999999,GLA,06/05/2009,04/05/2000,,
E33,Workplace Zones,WZ,Census,England,"W35, S34, N19",Current,"50,868",0,0,n/a,E33000001,E33050868,E33999999,ONS,31/01/2013,31/12/2011,,
E34,Built Up Areas (2011 Version),BUA,Census,England,"W37, K05",Archived,0,"5,360",11,30/11/2022,E34000001,E34005360,E34999999,ONS,27/06/2013,27/03/2011,,
E35,Built Up Area sub-divisions (2011 Version),BUASD,Census,England,"W38, K06",Archived,0,"1,662",4,30/11/2022,E35000001,E35001672,E35999999,ONS,27/06/2013,27/03/2011,,
E36,Census Merged Wards ,CMWD,Census,England,W39,Current,"7,678",0,0,n/a,E36000001,E36007678,E36999999,ONS,31/01/2013,31/12/2011,,
E37,Local Enterprise Partnerships,LEP,Other,England,n/a,Archived,0,70,0,31/03/2024,E37000001,E37000062,E37999999,BEIS,31/07/2012,11/03/2012,,
E38,Sub Integrated Care Board Locations,SICBL,Health,England,n/a,Current,106,916,0,01/04/2026,E38000006,E38000268,E38999999,ODS,01/04/2013,01/04/2013,,
E39,"NHS England (Region, Local Office)",NHSRLO,Health,England,n/a,Archived,0,55,0,01/04/2020,E39000018,E39000048,E39999999,ODS,01/04/2013,01/04/2013,,
E40,NHS England Regions,NHSER,Health,England,n/a,Current,7,7,0,01/01/2024,E40000003,E40000014,E40999999,ODS,01/04/2013,01/04/2013,,
E41,Census Merged Local Authority Districts,CMLAD,Census,England,W40,Current,324,0,0,n/a,E41000001,E41000324,E41999999,ONS,01/04/2013,31/12/2011,,
E42,Census Merged Counties,CMCTY,Census,England,n/a,Current,35,0,0,n/a,E42000056,E42000090,E42999999,ONS,01/04/2013,31/12/2011,,
E43,Non-Civil Parished Areas,NCP,Census,England,n/a,Current,200,103,0,01/04/2026,E43000003,E43000301,E43999999,DLUHC,01/11/2013,31/12/2011,,
E45,Public Health England Centres,PHEC,Health,England,n/a,Archived,0,20,0,01/10/2021,E45000001,E45000020,E45999999,PHE,03/06/2014,01/04/2013,,
E46,Public Health England Regions,PHEREG,Health,England,n/a,Archived,0,4,0,01/10/2021,E46000001,E46000004,E46999999,PHE,03/06/2014,01/04/2013,,
E47,Combined Authorities,CAUTH,Administrative,England,n/a,Current,15,9,0,01/05/2025,E47000001,E47000018,E47999999,DLUHC,10/07/2015,15/04/2015,,
E48,Local Resilience Forums,LRF,Other,England,W41,Current,38,5,0,01/01/2022,E48000001,E48000038,E48999999,DLUHC,23/07/2015,01/08/2015,,
E49,Enterprise Zones,EZ,Other,England,n/a,Current,46,3,0,01/04/2018,E49000001,E49000047,E49999999,DLUHC,01/02/2016,13/01/2016,,
E50,Waste Authorities,WA,Other,England,n/a,Current,9,2,0,01/04/2017,E50000001,E50000009,E50999999,DEFRA,22/04/2016,01/04/2016,,
E51,Development Corporations,DC,Other,England,n/a,Current,13,1,0,11/05/2026,E51000001,E51000013,E51999999,DLUHC,22/04/2016,01/04/2016,,
E52,LEP - overlapping part,LEPOP,Other,England,n/a,Archived,0,16,0,31/03/2024,E52000005,E52000006,E52999999,BEIS,22/04/2016,01/04/2016,,
E53,LEP - non overlapping part ,LEPNOP,Other,England,n/a,Archived,0,22,0,31/03/2024,E53000004,E53000018,E53999999,BEIS,22/04/2016,01/04/2016,,
E54,Integrated Care Boards,ICB,Health,England,n/a,Current,36,136,0,01/04/2026,E54000008,E54000071,E54999999,ODS,22/04/2016,01/04/2016,,
E55,Strategic Clinical Networks,SCN,Health,England,n/a,Current,12,2,0,03/04/2013,E55000001,E55000014,E55999999,ODS,01/09/2016,01/04/2013,,
E56,Cancer Alliances,CAL,Health,England,n/a,Current,20,19,0,01/04/2026,E56000005,E56000038,E56999999,NHS,23/11/2016,01/09/2016,,
E57,National Cancer Vanguards,NCV,Health,England,n/a,Archived,0,3,0,01/07/2019,E57000001,E57000003,E57999999,NHS,23/11/2016,01/09/2016,,
E58,County Electoral Divisions,CED,Electoral,England,n/a,Current,"1,395",951,0,07/05/2026,E58000050,E58002348,E58999999,DLUHC,23/10/2017,04/05/2017,,
E59,Integrated Care Systems,ICS,Health,England,n/a,Archived,0,10,0,31/12/2022,E59000001,E59000010,E59999999,NHS,15/05/2018,01/04/2018,,
E60,Local Planning Authorities,LPA,Administrative,England,"N13, S44, W43",Current,312,37,0,01/01/2026,E60000001,E60000349,E60999999,ONS,01/07/2019,01/04/2019,,
E61,Greater London Authority,GLA,Administrative,England,n/a,Current,1,0,0,n/a,E61000001,E61000001,E61999999,ONS,01/07/2019,03/07/2000,,
E62,National Landscapes (formerly AONB),NL,Other,England,"W44, K07",Current,33,0,1,n/a,E62000001,E62000033,E62999999,Natural England,21/02/2022,21/02/2022,,
E63,Built Up Areas,BUA,Census,England,"W45, S45, K08",Current,"7,245","14,238",10,01/04/2026,E63014239,E63021482,E63999999,OS,14/10/2022,14/10/2022,,
E65,England Non-National Park Area,NonNPARK,Census,England,"W31, N92",Current,1,0,0,n/a,E65000001,E65000001,E65999999,ONS,27/02/2023,27/02/2023,,
E66,Grouped Local Authority Districts (Parishes),GLAD,Census,England,W46,Current,116,0,0,n/a,E66000001,E66000116,E66999999,ONS,11/04/2023,11/04/2023,,
E67,Census Merged Local Authority Districts 2021,CMLAD21,Census,England,n/a,Current,2,0,0,n/a,E67000001,E67000002,E67999999,ONS,11/04/2023,11/04/2023,,
E68,Grouped Lower Tier Local Authorities 2022,GLTLA,Census,England,W47,Current,239,0,0,n/a,E68000001,E68000239,E68999999,ONS,10/05/2023,10/05/2023,,
E69,Local Skills Improvement Plan areas,LSIPA,Other,England,,Current,42,14,0,01/10/2025,E69000001,E69000051,E69999999,DfE,03/11/2023,01/08/2023,,
E92,Country,CTRY,Administrative,England,"W92, S92, N92, L93, M83",Current,1,0,0,n/a,E92000001,E92000001,E92999999,ONS,01/01/2009,01/01/2009,,
J01,Major Towns and Cities,TCITY,Experimental,England and Wales,n/a,Current,112,0,0,n/a,J01000001,J01000112,J01999999,ONS,22/04/2016,17/03/2016,,
J02,1961 Census Parishes,PAR,Census,England and Wales,"E92, W92",Current,11852,0,0,n/a,J02000001,J02011852,J02999999,ONS,20/11/2018,20/11/2018,,
J03,1961 Census Wards,WD,Census,England and Wales,"E92, W92",Current,5212,0,0,n/a,J03000001,J03005212,J03999999,ONS,20/11/2018,20/11/2018,,
J04,1961 Census Districts,LAD,Census,England and Wales,"E92, W92",Current,1467,0,0,n/a,J04000001,J04001467,J04999999,ONS,20/11/2018,20/11/2018,,
J05,1961 Census Counties,CTY,Census,England and Wales,"E92, W92",Current,62,0,0,n/a,J05000001,J05000062,J05999999,ONS,20/11/2018,20/11/2018,,
J06,Covid Infection Survey,CIS,Health,United Kingdom,n/a,Current,133,0,0,n/a,J06000101,J06000233,J06999999,ONS,31/10/2020,31/10/2020,,
K01,Travel to Work Areas,TTWA,Other,United Kingdom,"E30, W22, S22, N12",Current,6,12,6,31/07/2015,K01000005,K01000014,K01999999,ONS,01/01/2009,01/01/2009,,
K02,United Kingdom,UK,Administrative,United Kingdom,"E92, W92, S92, N92",Current,1,0,1,n/a,K02000001,K02000001,K02999999,ONS,31/10/2010,31/10/2010,,
K03,Great Britain,GB,Administrative,Great Britain,"E92, W92, S92",Current,1,0,1,n/a,K03000001,K03000001,K03999999,ONS,31/10/2010,31/10/2010,,
K04,England and Wales,E&W,Administrative,England and Wales,"E92, W92",Current,1,0,1,n/a,K04000001,K04000001,K04999999,ONS,31/10/2010,31/10/2010,,
K05,Built Up Areas (2011 Version),BUA,Census,England and Wales,"E34, W37",Archived,0,11,11,30/11/2022,K05000001,K05000011,K05999999,ONS,27/06/2013,27/03/2011,,
K06,Built Up Area sub divisions (2011 Version),BUASD,Census,England and Wales,"E35, W38",Archived,0,4,4,30/11/2022,K06000001,K06000004,K06999999,ONS,27/06/2013,27/03/2011,,
K07,National Landscapes (formerly AONB),NL,Other,England and Wales,"E62, W44",Current,1,0,1,n/a,K07000001,K07000001,K07999999,Natural England/Natural Resources Wales,21/02/2022,21/02/2022,,
K08,Built Up Areas,BUA,Census,England and Wales,"W45, S45, E63",Current,10,20,10,01/04/2026,K08000021,K08000030,K08999999,OS,14/10/2022,14/10/2022,,
K99,Non-Standard Geography Categories,NSGC,Other,United Kingdom,n/a,Current,4,0,0,01/01/2024,K99000001,K99000004,K99999999,ONS,11/04/2023,11/04/2023,,
L00,Strategic Health Authorities,SHA,Health,Channel Islands,"E18, M00",Current,3,0,0,n/a,L00000001,L00000003,L00999999,ODS,01/01/2009,01/01/2009,,
L93,British Crown Dependencies,BCD,Administrative,Channel Islands,"E92, W92, S92, N92, M83",Current,1,0,0,n/a,L93000001,L93000001,L93999999,ONS,01/01/2009,01/01/2009,,
M00,Strategic Health Authorities,SHA,Health,Isle of Man,"E18, L00",Current,1,0,0,n/a,M00000001,M00000001,M00999999,ODS,01/01/2009,01/01/2009,,
M01,Primary Healthcare Directorate,PHD,Health,Isle of Man,n/a,Current,1,0,0,n/a,M01000001,M01000001,M01999999,ODS,06/05/2010,01/06/2008,,
M83,British Crown Dependency,BCD,Administrative,Isle of Man,"E92, W92, S92, N92, L93",Current,1,0,0,n/a,M83000003,M83000003,M83999999,ONS,01/01/2009,01/01/2009,,
N00,Small Areas,SA,Statistical Building Block,Northern Ireland,"E00, W00, S00",Archived,0,4537,0,20/03/2021,N00000001,N00004537,N00999999,NISRA,31/01/2013,31/12/2011,,
N05,Westminster Parliamentary Constituencies,PCON,Electoral,Northern Ireland,"E14, W07, S14",Current,18,0,0,04/07/2024,N05000001,N05000018,N05999999,BCNI,04/07/2024,04/07/2024,,
N06,Westminster Parliamentary Constituencies,PCON,Electoral,Northern Ireland,"E14, W07, S14",Archived,0,18,0,03/07/2024,N06000001,N06000018,N06999999,BCNI,06/05/2010,06/05/2010,,
N07,European Electoral Regions,EER,Electoral,Northern Ireland,"E15, W08, S15",Archived,0,1,0,31/12/2020,N07000001,N07000001,N07999999,BCNI,06/05/2010,01/01/2009,,
N08,Electoral Wards,WD,Administrative/Electoral,Northern Ireland,"E05, S13, W05",Current,462,0,0,n/a,N08000101,N08001140,N08999999,NISRA,01/04/2015,01/04/2015,,
N09,Local Government Districts,LGD,Administrative,Northern Ireland,n/a,Current,11,0,0,n/a,N09000001,N09000011,N09999999,NISRA,01/04/2015,01/04/2015,,
N10,District Electoral Areas,DEA,Electoral,Northern Ireland,n/a,Current,80,0,0,n/a,N10000101,N10001107,N10999999,BCNI,22/05/2014,22/05/2014,,
N11,Settlement 2015,SETT2015,Census,Northern Ireland,n/a,Current,639,0,0,n/a,N11000001,N11000639,N11999999,NISRA,29/01/2015,29/01/2015,,
N12,Travel to Work Areas,TTWA,Other,Northern Ireland,"E30, W22, S22, K01",Current,10,0,0,n/a,N12000001,N12000010,N12999999,ONS,31/07/2015,31/07/2015,,
N13,Local Planning Authorities,LPA,Administrative,Northern Ireland,"E60, S44, W43",Current,12,0,0,n/a,N13000001,N13000012,N13999999,ONS,01/07/2019,01/04/2019,,
N19,Workplace Zones,WZ,Census,Northern Ireland,"E33, W35, S34",Current,"1,756",0,0,n/a,N19000001,N19001756,N19999999,NISRA,20/10/2016,31/12/2011,,
N20,Data Zones,DZ,Census,Northern Ireland,"E00, W00, S00",Current,"3,780",0,0,21/03/2021,N20000001,N20003780,N20999999,NISRA,21/03/2021,21/03/2021,,
N21,Super Data Zones,SDZ,Census,Northern Ireland,"E01, W01, S01",Current,850,0,0,21/03/2021,N21000001,N21000850,N21999999,NISRA,21/03/2021,21/03/2021,,
N23,Police Force Areas,PFA,Other,Northern Ireland,"E23, W15, S23",Current,1,0,0,n/a,N23000001,N23000001,N23999999,PSNI,01/02/2016,01/04/2015,,
N24,Police Force Districts,PFD,Other,Northern Ireland,n/a,Current,11,0,0,n/a,N24000001,N24000011,N24999999,PSNI,01/02/2016,01/04/2015,,
N31,Northern Ireland Fire and Rescue Service,NIFRS,Other,Northern Ireland,"E31, W25, S38",Current,1,0,0,n/a,N31000001,N31000001,N31999999,NIFRS,01/02/2016,01/02/2016,,
N32,Northern Ireland Fire and Rescue Service Areas,NIFRSA,Other,Northern Ireland,n/a,Current,4,0,0,n/a,N32000001,N32000004,N32999999,NIFRS,01/02/2016,01/02/2016,,
N33,Northern Ireland Fire and Rescue Service Districts,NIFRSD,Other,Northern Ireland,n/a,Current,14,0,0,n/a,N33000001,N33000014,N33999999,NIFRS,01/02/2016,01/02/2016,,
N34,City Regions,CREG,Other,Northern Ireland,n/a,Current,3,0,0,n/a,N34000001,N34000003,N34999999,NISRA,01/04/2020,01/04/2019,,
N92,Country,CTRY,Administrative,Northern Ireland,"E92, W92, S92, L93, M83",Current,1,0,0,n/a,N92000002,N92000002,N92999999,ONS,06/05/2010,01/01/2009,,
S00,Output Areas,OA,Statistical Building Block,Scotland,"E00, W00, N00",Current,"46,363","135,306",0,21/05/2024,S00135307,S00181669,S00999999,NRS,01/01/2009,01/01/2001,,
S01,Data Zones,DZ,Statistical Building Block,Scotland,"E01, W01",Current,"7,392","13,481",0,16/12/2024,S01013482,S01020873,S01999999,SG,01/01/2009,01/02/2004,,
S02,Intermediate Zones,IZ,Statistical Building Block,Scotland,"E02, W02",Current,"1,334","2,514",0,16/12/2024,S02002515,S02003848,S02999999,SG,01/01/2009,01/02/2005,,
S03,Community Health Partnerships,CHP,Health,Scotland,n/a,Archived,0,44,0,31/03/2015,S03000001,S03000044,S03999999,SG,01/01/2009,01/04/2005,,
S04,Regeneration Outcome Agreement Areas - Scotland,ROAS,Housing and Regeneration,Scotland,n/a,Current,1,0,0,n/a,S04000001,S04000001,S04999999,SG,01/01/2009,31/03/2006,,
S05,Regeneration Outcome Areas - Community Planning Partnerships,ROAC,Housing and Regeneration,Scotland,n/a,Current,28,0,0,n/a,S05000001,S05000028,S05999999,SG,01/01/2009,31/03/2006,,
S06,Regeneration Outcome Areas - Local Areas,ROAL,Housing and Regeneration,Scotland,n/a,Current,180,0,0,n/a,S06000001,S06000180,S06999999,SG,01/01/2009,31/03/2006,,
S07,Regional Transport Partnerships,RTP,Transport,Scotland,n/a,Current,7,0,0,n/a,S07000001,S07000007,S07999999,SG,01/01/2009,01/12/2005,,
S08,Health Board areas,HB,Health,Scotland,n/a,Current,14,18,0,01/04/2019,S08000015,S08000032,S08999999,SG,01/01/2009,01/04/1974,,
S09,Enterprise Regions,ER,Economic,Scotland,n/a,Current,6,0,0,n/a,S09000001,S09000006,S09999999,SE,01/01/2009,26/09/2007,,
S10,Urban Regeneration Companies,URC,Economic,Scotland,n/a,Current,6,0,0,n/a,S10000001,S10000006,S10999999,SG,01/01/2009,01/06/2004,,
S11,Strategic Development Plan Areas,SDPA,Administrative,Scotland,n/a,Current,4,0,0,n/a,S11000001,S11000004,S11999999,SG,01/01/2009,25/06/2008,,
S12,Council Areas,CA,Administrative,Scotland,n/a,Current,32,12,0,01/04/2019,S12000005,S12000050,S12999999,LGBC,01/01/2009,01/04/1996,,
S13,Electoral Wards,WD,Administrative/Electoral,Scotland,"E05, W05, N08",Current,355,492,0,05/05/2022,S13002516,S13003156,S13999999,LGBC,01/01/2009,05/05/1994,,
S14,Westminster Parliamentary Constituencies,PCON,Electoral,Scotland,"E14, W07, N05",Current,57,59,0,04/07/2024,S14000021,S14000111,S14999999,LGBC,01/01/2009,10/02/2005,,
S15,European Electoral Regions,EER,Electoral,Scotland,"N07, E15, W08",Archived,0,1,0,31/12/2020,S15000001,S15000001,S15999999,LGBC,01/01/2009,01/05/1999,,
S16,Scottish Parliamentary Constituencies ,SPC,Electoral,Scotland,n/a,Current,73,167,0,07/05/2026,S16000151,S16000223,S16999999,LGBC,01/01/2009,19/11/1998,,
S17,Scottish Parliamentary Regions,SPR,Electoral,Scotland,n/a,Current,8,20,0,07/05/2026,S17000021,S17000028,S17999999,LGBC,01/01/2009,19/11/1998,,
S19,Localities,LOCS,Other,Scotland,n/a,Current,656,1927,0,31/03/2022,S19001928,S19002583,S19999999,NRS,01/01/2009,24/05/2012,,
S20,Settlements,SETT,Other,Scotland,n/a,Current,514,1538,0,01/01/2023,S20001538,S20002051,S20999999,NRS,01/01/2009,24/05/2012,,
S21,National Parks,NPARK,Other,Scotland,"E26, W18",Current,2,4,0,17/04/2023,S21000002,S21000003,S21999999,SG,01/01/2009,25/04/2002,,
S22,Travel to Work Areas,TTWA,Other,Scotland,"E30, N12, W22, K01",Current,45,60,2,31/07/2015,S22000005,S22000086,S22999999,ONS,01/01/2009,01/09/2007,,
S23,Police Force Areas,PFA,Other,Scotland,"E23, W15, N23",Current,1,8,0,01/04/2013,S23000009,S23000009,S23999999,SG,01/01/2009,16/05/1975,,
S24,Highlands and Islands Enterprise,HIE,Economic,Scotland,n/a,Current,8,0,0,n/a,S24000001,S24000008,S24999999,HIE,01/01/2009,01/11/2008,,
S25,Community Justice Authorities,CJA,Other,Scotland,n/a,Current,8,0,0,n/a,S25000001,S25000008,S25999999,SG,01/01/2009,03/04/2006,,
S26,Community Health Partnerships sub-areas,CHCP,Health,Scotland,n/a,Archived,0,38,0,31/03/2015,S26000001,S26000038,S26999999,SG,01/11/2013,22/03/2011,,
S27,ISD Health Board of Treatment,ISDT,Health,Scotland,n/a,Current,2,0,0,n/a,S27000001,S27000002,S27999999,NHS,01/11/2013,05/12/2011,,
S28,Census Detailed Characteristics,CDC,Census,Scotland,n/a,Current,866,0,0,n/a,S28000001,S28000866,S28999999,NRS,01/11/2013,27/03/2011,,
S29,Census Local Characteristics,CLC,Census,Scotland,n/a,Current,"1,012",0,0,n/a,S29000001,S29001012,S29999999,NRS,01/11/2013,27/03/2011,,
S30,Local Administrative Units 1,LAU1,Administrative,Scotland,n/a,Current,41,12,0,07/05/2019,S30000003,S30000053,S30999999,SG,01/11/2013,01/01/2008,,
S31,Local Administrative Units 2,LAU2,Administrative,Scotland,n/a,Current,1229,0,0,n/a,S31000001,S31001229,S31999999,SG,01/11/2013,01/01/2008,,
S32,Scottish Police Divisions,SPD,Other,Scotland,n/a,Current,13,6,0,01/04/2019,S32000003,S32000019,S32999999,SG,01/11/2013,01/04/2013,,
S33,Broad Rental Market Areas,BRMA,Housing and Regeneration,Scotland,n/a,Current,18,0,0,n/a,S33000001,S33000018,S33999999,SG,09/07/2015,05/01/2009,,
S34,Workplace Zones,WZ,Census,Scotland,"E33, W35, N19",Current,"5,375",0,0,n/a,S34000001,S34005375,S34999999,NRS,20/10/2016,31/12/2011,,
S35,Civil Parish,CVP,Administrative,Scotland,n/a,Archived,0,871,0,16/05/1930,S35000001,S35000871,S35999999,NRS,01/02/2016,15/05/1892,,
S36,Island Groups,ISLG,Other,Scotland,n/a,Current,53,57,0,21/05/2024,S36000058,S36000110,S36999999,NRS,01/02/2016,15/08/2013,,
S37,Integration Authorities,HIA,Health,Scotland,n/a,Current,31,4,0,01/04/2019,S37000001,S37000035,S37999999,NHS,01/02/2016,01/04/2016,,
S38,Scottish Fire and Rescue Service,SFRS,Other,Scotland,"E31, W25, N31",Current,1,0,0,n/a,S38000001,S38000001,S38999999,SG,01/02/2016,01/04/2013,,
S39,Scottish Fire and Rescue Local Senior Officer Areas,SFRLSO,Other,Scotland,n/a,Current,14,10,0,30/06/2021,S39000003,S39000024,S39999999,SG,01/02/2016,01/04/2013,,
S40,Scottish Fire and Rescue Service Delivery Areas,SFRSDA,Other,Scotland,n/a,Current,3,2,0,02/02/2018,S40000003,S40000005,S40999999,SG,01/02/2016,01/04/2013,,
S41,Scottish Marine Regions,SMR,Other,Scotland,n/a,Current,11,0,0,n/a,S41000001,S41000011,S41999999,MS,31/12/2018,13/05/2015,,
S42,Scottish Local Resilience Partnerships,SLRP,Other,Scotland,n/a,Current,12,4,0,03/07/2019,S42000001,S42000016,S42999999,SG,01/07/2019,01/04/2019,,
S43,Scottish Regional Resilience Partnerships,SRRP,Other,Scotland,n/a,Current,3,0,0,n/a,S43000001,S43000003,S43999999,SG,01/07/2019,01/04/2019,,
S44,Local Planning Authorities,LPA,Administrative,Scotland,"E60, N13, W43",Current,34,0,0,n/a,S44000001,S44000034,S44999999,ONS,01/07/2019,01/04/2019,,
S45,Built Up Areas,BUA,Census,Scotland,"E63, W45, K08",Current,834,"1,632",10,01/04/2026,S45001633,S45002466,S45999999,OS,14/10/2022,14/10/2022,,
S47,Non-Standard Geography Categories,NSGC,Other,Scotland,n/a,Current,3,0,0,n/a,S47000001,S47000003,S47999999,SG,27/02/2023,05/09/2022,,
S48,Scotttish Island Regions,SIR,Other,Scotland,n/a,Current,9,0,0,n/a,S48000001,S48000009,S48999999,SG,03/11/2023,20/06/2023,,
S52,Census Locality,CLOC,Other,Scotland,n/a,Current,656,0,0,21/05/2024,S52000001,S52000656,S52999999,NRS,06/06/2024,21/05/2024,,
S53,Census Settlement,CSETT,Other,Scotland,n/a,Current,503,0,0,21/05/2024,S53000001,S53000503,S53999999,NRS,06/06/2024,21/05/2024,,
S92,Country,CTRY,Administrative,Scotland,"E92, W92, N92, L93, M83",Current,1,0,0,n/a,S92000003,S92000003,S92999999,ONS,01/01/2009,01/01/2009,,
W00,Output Areas,OA,Statistical Building Block,Wales,"E00, S00, N00",Current,"10,275",967,0,21/03/2021,W00000001,W00010697,W00999999,ONS,01/01/2009,01/01/2009,,
W01,Lower layer Super Output Areas,LSOA,Statistical Building Block,Wales,"E01, S01",Current,"1,917",184,0,21/03/2021,W01000003,W01002040,W01999999,ONS,01/01/2009,01/01/2003,,
W02,Middle layer Super Output Areas,MSOA,Statistical Building Block,Wales,"E02, S02",Current,408,27,0,21/03/2021,W02000001,W02000428,W02999999,ONS,01/01/2009,01/01/2003,,
W03,Upper layer Super Output Areas,USOA,Statistical Building Block,Wales,n/a,Archived,0,97,0,20/03/2021,W03000001,W03000097,W03999999,WG (Data Unit),01/01/2009,01/01/2003,,
W04,Communities,COM,Administrative,Wales,n/a,Current,878,226,0,01/04/2026,W04000001,W04001091,W04999999,WG (LGBC),01/01/2009,01/01/2009,,
W05,Electoral Wards,WD,Administrative/Electoral,Wales,"E05, S13, N08",Current,762,1119,0,05/05/2022,W05001039,W05001800,W05999999,WG (LGBC),01/01/2009,01/01/2009,,
